ID videa;ID článku;views;SUM(time)
357385;47116;6;4270
358561;47537;6;40
358752;47554;4;2186
359354;47675;1;824
359940;47933;3;470
360594;48049;1;150
361111;48261;27;35086
362215;48620;3;2460
362431;48577;1;110
362898;48723;1;187
363116;48811;1;443
363319;48883;1;70
364042;49860;10;8669
364497;49303;1;270
364879;49537;11;6190
365291;49834;2;350
365350;49879;1;211
365565;50040;7;3390
366011;50451;1;20
366310;50696;1;80
367032;51557;1;483
367235;51835;2;798
367306;52060;54;32119
367367;51998;2;268
367642;52127;1;30
367989;52413;2;194
368065;52560;1;126
368268;52715;3;492
368460;52841;1;70
368638;52797;1;57
368722;53046;6;360
368854;53045;1;71
369074;53634;2;664
369121;53355;1;1550
369385;53562;1;50
369588;53674;1;4
369684;53727;1;20
369922;53944;7;4300
370204;54089;2;1368
370348;54226;2;240
370493;54530;1;1577
370515;54293;1;1680
370779;54574;1;66
370792;54576;2;240
370958;54697;1;100
371250;54892;1;91
371262;56057;2;500
371441;55091;1;170
371500;55085;1;88
371536;55126;4;2349
371740;56025;2;318
371752;55249;1;55
371764;55302;3;402
371776;55230;7;320
371823;55274;1;85
371860;55306;3;60
372043;55418;8;567
372055;55413;4;4908
372271;55551;8;6180
372283;55565;12;3897
372317;55563;1;72
372354;55610;25;4782
372366;55624;1;50
372462;55725;3;241
372474;55764;3;1588
372498;55739;3;2104
372570;55753;1;160
372582;0;3;124
372604;55838;1;61
372641;55872;1;51
372689;55907;4;252
372700;56254;3;912
373003;56061;3;536
373076;55860;5;826
373159;56151;4;126
373231;56162;2;80
373267;56176;1;20
373292;55422;610;591521
373458;56228;1;42
373495;56240;1;76
373613;56279;2;1969
373637;56283;1;60
373936;56321;3;402
374073;56322;2;114
374085;56432;2;36
374107;56476;4;3015
374181;56521;503;394170
374240;56491;6;30
374372;56556;15;3745
374406;56554;85;33992
374467;56592;8;1000
374575;56548;12067;1637380
374622;56640;17;610
374695;56680;3025;151225
374886;56782;8777;1483738
374908;56735;10535;1036779
374921;56759;608;232846
374945;56725;679;525014
374970;56792;113;7982
